season,team_abb,player_code,games_with_box,games_played,games_dnp,minutes_total,minutes_avg
2024,ATL,ATL24_P01,44,44,0,1422,32.31818181818182
2024,ATL,ATL24_P02,44,44,0,945,21.477272727272727
2024,ATL,ATL24_P03,44,44,0,759,17.25
2024,ATL,ATL24_P04,44,44,0,590,13.409090909090908
2024,ATL,ATL24_P05,43,43,0,1247,29
2024,ATL,ATL24_P06,39,34,5,1110,32.64705882352941
2024,ATL,ATL24_P07,42,30,12,244,8.133333333333333
2024,ATL,ATL24_P08,28,27,1,424,15.703703703703704
2024,ATL,ATL24_P09,35,26,9,519,19.96153846153846
2024,ATL,ATL24_P10,32,22,10,679,30.863636363636363
2024,ATL,ATL24_P11,30,19,11,341,17.94736842105263
2024,ATL,ATL24_P12,42,19,23,121,6.368421052631579
2024,ATL,ATL24_P13,17,17,0,231,13.588235294117647
2024,ATL,ATL24_P14,8,8,0,143,17.875
2024,ATL,ATL24_P15,6,6,0,187,31.166666666666668
2024,ATL,ATL24_P16,6,6,0,183,30.5
2024,ATL,ATL24_P17,6,6,0,182,30.333333333333332
2024,ATL,ATL24_P18,6,6,0,135,22.5
2024,ATL,ATL24_P19,6,6,0,116,19.333333333333332
2024,ATL,ATL24_P20,5,5,0,184,36.8
2024,ATL,ATL24_P21,5,5,0,163,32.6
2024,ATL,ATL24_P22,5,5,0,156,31.2
2024,ATL,ATL24_P23,5,5,0,145,29
2024,ATL,ATL24_P24,5,5,0,128,25.6
2024,ATL,ATL24_P25,5,5,0,124,24.8
2024,ATL,ATL24_P26,5,5,0,112,22.4
2024,ATL,ATL24_P27,5,5,0,105,21
2024,ATL,ATL24_P28,5,5,0,104,20.8
2024,ATL,ATL24_P29,5,5,0,100,20
2024,ATL,ATL24_P30,5,5,0,95,19
2024,ATL,ATL24_P31,5,5,0,87,17.4
2024,ATL,ATL24_P32,6,5,1,65,13
2024,ATL,ATL24_P33,5,4,1,144,36
2024,ATL,ATL24_P34,4,4,0,135,33.75
2024,ATL,ATL24_P35,4,4,0,127,31.75
2024,ATL,ATL24_P36,4,4,0,125,31.25
2024,ATL,ATL24_P37,4,4,0,125,31.25
2024,ATL,ATL24_P38,4,4,0,123,30.75
2024,ATL,ATL24_P39,4,4,0,120,30
2024,ATL,ATL24_P40,4,4,0,119,29.75
2024,ATL,ATL24_P41,4,4,0,116,29
2024,ATL,ATL24_P42,4,4,0,111,27.75
2024,ATL,ATL24_P43,4,4,0,111,27.75
2024,ATL,ATL24_P44,4,4,0,109,27.25
2024,ATL,ATL24_P45,4,4,0,107,26.75
2024,ATL,ATL24_P46,4,4,0,106,26.5
2024,ATL,ATL24_P47,4,4,0,96,24
2024,ATL,ATL24_P48,4,4,0,83,20.75
2024,ATL,ATL24_P49,5,4,1,82,20.5
2024,ATL,ATL24_P50,4,4,0,81,20.25
2024,ATL,ATL24_P51,5,4,1,75,18.75
2024,ATL,ATL24_P52,4,4,0,72,18
2024,ATL,ATL24_P53,4,4,0,70,17.5
2024,ATL,ATL24_P54,4,4,0,69,17.25
2024,ATL,ATL24_P55,5,4,1,64,16
2024,ATL,ATL24_P56,4,4,0,63,15.75
2024,ATL,ATL24_P57,6,4,2,60,15
