player_code,games_with_box,games_played,games_dnp,minutes_total,minutes_avg
DAL25_P01,44,42,2,914,21.761904761904763
DAL25_P02,45,40,5,706,17.65
DAL25_P03,39,38,1,1243,32.71052631578947
DAL25_P04,40,35,5,570,16.285714285714285
DAL25_P05,38,31,7,1010,32.58064516129032
DAL25_P06,35,28,7,735,26.25
DAL25_P07,36,28,8,626,22.357142857142858
DAL25_P08,29,24,5,546,22.75
DAL25_P09,28,24,4,459,19.125
DAL25_P10,27,23,4,546,23.73913043478261
DAL25_P11,23,23,0,448,19.47826086956522
DAL25_P12,22,21,1,350,16.666666666666668
DAL25_P13,23,19,4,245,12.894736842105264
DAL25_P14,21,18,3,403,22.38888888888889
DAL25_P15,18,18,0,216,12
DAL25_P16,8,8,0,157,19.625
DAL25_P17,5,5,0,147,29.4
DAL25_P18,5,5,0,137,27.4
DAL25_P19,5,5,0,123,24.6
DAL25_P20,5,5,0,92,18.4
DAL25_P21,20,5,15,82,16.4
DAL25_P22,4,4,0,147,36.75
DAL25_P23,4,4,0,129,32.25
DAL25_P24,4,4,0,129,32.25
DAL25_P25,4,4,0,125,31.25
DAL25_P26,4,4,0,122,30.5
DAL25_P27,4,4,0,121,30.25
DAL25_P28,4,4,0,121,30.25
DAL25_P29,4,4,0,121,30.25
DAL25_P30,4,4,0,120,30
DAL25_P31,4,4,0,118,29.5
DAL25_P32,4,4,0,117,29.25
DAL25_P33,4,4,0,116,29
DAL25_P34,4,4,0,115,28.75
DAL25_P35,4,4,0,114,28.5
DAL25_P36,4,4,0,110,27.5
DAL25_P37,4,4,0,109,27.25
DAL25_P38,4,4,0,108,27
DAL25_P39,4,4,0,106,26.5
DAL25_P40,4,4,0,105,26.25
DAL25_P41,4,4,0,100,25
DAL25_P42,4,4,0,97,24.25
DAL25_P43,4,4,0,95,23.75
DAL25_P44,4,4,0,94,23.5
DAL25_P45,4,4,0,92,23
DAL25_P46,4,4,0,90,22.5
DAL25_P47,4,4,0,89,22.25
DAL25_P48,4,4,0,85,21.25
DAL25_P49,4,4,0,84,21
DAL25_P50,4,4,0,84,21
DAL25_P51,4,4,0,82,20.5
DAL25_P52,4,4,0,82,20.5
DAL25_P53,4,4,0,82,20.5
DAL25_P54,4,4,0,81,20.25
DAL25_P55,4,4,0,77,19.25
DAL25_P56,4,4,0,74,18.5
DAL25_P57,5,4,1,70,17.5
DAL25_P58,4,4,0,66,16.5
DAL25_P59,4,4,0,66,16.5
DAL25_P60,4,4,0,62,15.5
DAL25_P61,4,4,0,55,13.75
DAL25_P62,4,4,0,54,13.5
DAL25_P63,4,4,0,45,11.25
DAL25_P64,5,4,1,45,11.25
DAL25_P65,4,4,0,36,9
DAL25_P66,3,3,0,112,37.333333333333336
DAL25_P67,3,3,0,112,37.333333333333336
DAL25_P68,3,3,0,96,32
DAL25_P69,3,3,0,94,31.333333333333332
DAL25_P70,3,3,0,90,30
DAL25_P71,3,3,0,89,29.666666666666668
DAL25_P72,4,3,1,88,29.333333333333332
DAL25_P73,3,3,0,87,29
DAL25_P74,3,3,0,87,29
DAL25_P75,3,3,0,87,29
DAL25_P76,3,3,0,87,29
DAL25_P77,3,3,0,87,29
DAL25_P78,3,3,0,85,28.333333333333332
DAL25_P79,3,3,0,82,27.333333333333332
DAL25_P80,3,3,0,81,27
DAL25_P81,3,3,0,81,27
DAL25_P82,3,3,0,79,26.333333333333332
DAL25_P83,4,3,1,79,26.333333333333332
DAL25_P84,3,3,0,79,26.333333333333332
DAL25_P85,4,3,1,78,26
DAL25_P86,3,3,0,75,25
DAL25_P87,3,3,0,74,24.666666666666668
DAL25_P88,3,3,0,73,24.333333333333332
DAL25_P89,3,3,0,67,22.333333333333332
DAL25_P90,3,3,0,66,22
DAL25_P91,3,3,0,65,21.666666666666668
DAL25_P92,4,3,1,64,21.333333333333332
DAL25_P93,3,3,0,62,20.666666666666668
DAL25_P94,3,3,0,61,20.333333333333332
DAL25_P95,3,3,0,60,20
DAL25_P96,3,3,0,58,19.333333333333332
DAL25_P97,3,3,0,57,19
DAL25_P98,3,3,0,51,17
DAL25_P99,3,3,0,48,16
DAL25_P100,3,3,0,47,15.666666666666666
DAL25_P101,3,3,0,46,15.333333333333334
DAL25_P102,4,3,1,45,15
DAL25_P103,3,3,0,42,14
DAL25_P104,3,3,0,41,13.666666666666666
DAL25_P105,3,3,0,39,13
DAL25_P106,3,3,0,35,11.666666666666666
DAL25_P107,4,3,1,34,11.333333333333334
DAL25_P108,4,3,1,34,11.333333333333334
DAL25_P109,3,3,0,34,11.333333333333334
DAL25_P110,3,3,0,33,11
DAL25_P111,3,3,0,33,11
DAL25_P112,3,3,0,32,10.666666666666666
DAL25_P113,3,3,0,31,10.333333333333334
DAL25_P114,4,3,1,28,9.333333333333334
DAL25_P115,3,3,0,28,9.333333333333334
DAL25_P116,3,3,0,26,8.666666666666666
DAL25_P117,3,3,0,21,7
DAL25_P118,3,3,0,19,6.333333333333333
DAL25_P119,3,3,0,13,4.333333333333333
DAL25_P120,6,3,3,13,4.333333333333333
DAL25_P121,4,3,1,11,3.6666666666666665
DAL25_P122,4,3,1,10,3.3333333333333335
DAL25_P123,3,2,1,62,31
DAL25_P124,2,2,0,59,29.5
DAL25_P125,2,2,0,57,28.5
DAL25_P126,2,2,0,55,27.5
DAL25_P127,2,2,0,53,26.5
DAL25_P128,2,2,0,47,23.5
DAL25_P129,4,2,2,44,22
DAL25_P130,2,2,0,39,19.5
DAL25_P131,4,2,2,38,19
DAL25_P132,4,2,2,32,16
DAL25_P133,2,2,0,31,15.5
DAL25_P134,4,2,2,31,15.5
DAL25_P135,2,2,0,23,11.5
DAL25_P136,3,2,1,23,11.5
DAL25_P137,3,2,1,19,9.5
DAL25_P138,3,2,1,19,9.5
DAL25_P139,3,2,1,18,9
DAL25_P140,2,2,0,14,7
DAL25_P141,2,2,0,12,6
DAL25_P142,2,2,0,12,6
DAL25_P143,2,2,0,9,4.5
DAL25_P144,4,2,2,8,4
DAL25_P145,3,2,1,7,3.5
DAL25_P146,3,2,1,6,3
DAL25_P147,4,2,2,5,2.5
DAL25_P148,3,1,2,35,35
DAL25_P149,2,1,1,35,35
DAL25_P150,1,1,0,32,32
DAL25_P151,2,1,1,30,30
DAL25_P152,1,1,0,30,30
DAL25_P153,2,1,1,25,25
DAL25_P154,1,1,0,23,23
DAL25_P155,1,1,0,23,23
DAL25_P156,1,1,0,22,22
DAL25_P157,1,1,0,22,22
DAL25_P158,1,1,0,22,22
DAL25_P159,1,1,0,20,20
DAL25_P160,1,1,0,20,20
DAL25_P161,1,1,0,20,20
DAL25_P162,1,1,0,18,18
DAL25_P163,1,1,0,13,13
DAL25_P164,1,1,0,12,12
DAL25_P165,3,1,2,12,12
